survey	id	sentence_nr	context_en	context_ru	sentence_en	sentence_ru	translat_original	translit_morph	gloss	translation	target_verb	target_trans	form_label	exp	given	comments	speaker	idiom	language	gender	birthyear	date
pfq	1	1	[A: I want to give your sister a book to read, but I don’t know which one. Are there any of these books that she READ already?]	[A: Я хочу подарить вашей сестре книгу, но не знаю какую. Есть ли какие-нибудь книги, которые она уже ЧИТАТЬ]	B: Yes, she READ this book.	В: Да, она ЧИТАТЬ эту книгу. 	У, гьелъ гьеб т1ех ц1алун бук1ана.	u, heɬ heb t’ex cʼalun buk’ana.			читать	cʼalun buk’ana	aorist_pluperfect	perfect	not p		1	Khunzakh	Avar	F		2016
pfq	2	2	[A: It seems that your sister never finishes books.]	[А: Кажется, что ваша сестра никогда не читает книги до конца.]	B: (That is not quite true.) She READ this book (=all of it). 	В: (Это не совсем правда.) Она ЧИТАТЬ эту книгу (то есть, полностью). 	Гьелъ ц1алун бук1ана гьеб ахиралде щвезегъан.	heɬ c’alun buk’ana heb aχiralde šːwezeʁan.			читать	cʼalun buk’ana	aorist_pluperfect	perfect	not p		1	Khunzakh	Avar	F		2016
pfq	3	3	[Question: Is the king still alive?]	[Вопрос: Король еще жив?]	No, he DIE. 	Нет, он УМИРАТЬ.	Гьеч1о, гьев хвана.	heč’o, hew χwana.			умирать	χwana	aorist	perfect	not p		1	Khunzakh	Avar	F		2016
pfq	4	4			Question: You MEET my sister (at any time in your life up to now?)	Вопрос: Вы ЗНАКОМИТЬСЯ с моей сестрой (в какой-то момент в вашей жизни до сих пор)?	Дуда лъалищ дир яц?	duda ɬališː dir jac?			знакомиться	ɬališː	present	perfect	other	interrogative	1	Khunzakh	Avar	F		2016
pfq	5	5	[A child asks: Can I go now?]	[Ребенок спрашивает: можно ли мне уйти?]	Mother: You DO your homework?	Мать: Ты ДЕЛАТЬ домашнее задание?	Дуца рокъоб х1алт1и гьабурабищ?	duca roqʼob  ħalt’i haburabišː?			делать	haburabišː	participle	perfect	other	interrogative	1	Khunzakh	Avar	F		2016
pfq	6	6	[Question: Do you know my sister?]	[Вопрос: Вы знаете мою сестру?]	Answer: Yes, I MEET her (so I know her).	Ответ: Да, я с ней ЗНАКОМИТЬСЯ (и поэтому знаю ее).	Лъала дун гьелъулгун лъай-хъвай ккана.	ɬala dun heɬulgun ɬaj-qwaj kːana. 			знакомиться	ɬaj-qwaj kːana	aorist	perfect	not p		1	Khunzakh	Avar	F		2016
pfq	7	7	[Question: Can you swim in this lake? (=Is it possible for anybody to swim in this lake?)]	[Вопрос: Можно ли купаться в этом озере (= возможно ли любому человеку купаться в этом озере?]	Answer: Yes, at least I SWIM in it several times. 	Ответ: Да, по крайней мере я КУПАТЬСЯ несколько раз. 	Бегьула дунчангунух чвердон вук1ана.	behula dunčangunuχ čwerdon wuk’ana.    			купаться	čwerdon wuk’ana	aorist_pluperfect	perfect	not p		1	Khunzakh	Avar	F		2016
pfq	8	8	[Do you know what happened to me just an hour ago?]	[Знаете что со мной случилось час назад?]	I WALK in the forest. Suddenly I STEP on a snake. It BITE me in the leg. I TAKE a stone and THROW (it) at the snake. It DIE. 	ХОДИТЬ по лесу. Вдруг НАСТУПАТЬ на змею. Она КУСАТЬ в ногу. Я БРАТЬ камень и БРОСАТЬ (его) в змею. Она УМИРАТЬ. 	Рохьой ун йик1ана. Лъач1ого борхьида т1ад ч1ана. Долъ дида х1ат1ида х1анч1ана. Дида гамач1 долда реч1ана. Доб хвана.	roxoj un jik’ana. ɬač’ogo borxida t’ad č’ana. doɬ dida ħat’ida ħančʼana. dica gamačʼ dolda rečʼana. dob χwana.			ходить	un jik’ana	aorist_pluperfect	not p	not p		1	Khunzakh	Avar	F		2016
pfq	9	8	[Do you know what happened to me just an hour ago?]	[Знаете что со мной случилось час назад?]	I WALK in the forest. Suddenly I STEP on a snake. It BITE me in the leg. I TAKE a stone and THROW (it) at the snake. It DIE. 	ХОДИТЬ по лесу. Вдруг НАСТУПАТЬ на змею. Она КУСАТЬ в ногу. Я БРАТЬ камень и БРОСАТЬ (его) в змею. Она УМИРАТЬ. 	Рохьой ун йик1ана. Лъач1ого борхьида т1ад ч1ана. Долъ дида х1ат1ида х1анч1ана. Дида гамач1 долда реч1ана. Доб хвана.	roxoj un jik’ana. ɬač’ogo borxida t’ad č’ana. doɬ dida ħat’ida ħančʼana. dica gamačʼ dolda rečʼana. dob χwana.			наступать	čʼana	aorist	not p	not p		1	Khunzakh	Avar	F		2016
pfq	10	8	[Do you know what happened to me just an hour ago?]	[Знаете что со мной случилось час назад?]	I WALK in the forest. Suddenly I STEP on a snake. It BITE me in the leg. I TAKE a stone and THROW (it) at the snake. It DIE. 	ХОДИТЬ по лесу. Вдруг НАСТУПАТЬ на змею. Она КУСАТЬ в ногу. Я БРАТЬ камень и БРОСАТЬ (его) в змею. Она УМИРАТЬ. 	Рохьой ун йик1ана. Лъач1ого борхьида т1ад ч1ана. Долъ дида х1ат1ида х1анч1ана. Дида гамач1 долда реч1ана. Доб хвана.	roxoj un jik’ana. ɬač’ogo borxida t’ad č’ana. doɬ dida ħat’ida ħančʼana. dica gamačʼ dolda rečʼana. dob χwana.			кусать 	ħančʼana	aorist	not p	not p		1	Khunzakh	Avar	F		2016
