form	type	evidential	structure	label	meaning	lang	variant	gltc	lat	lon	ref	source
ʁaj	verb particle	reportative	particle	показатель пересказывательности	reportative	Aghul	Huppuq	aghu1253	41,92418	47,58429	(Maisak & Merdanova 2002)	
di	verb particle	reportative	suffix	передача чужой речи, повествование, заглазное действие	reportative	Akhvakh	Northern Akhvakh	akhv1239	42,40035	46,30369	(Magomedbekova 1967, 107)	
ƛ'ːe / eƛ'ːe	free particle	NA	particle	косвенная речь	quotative	Akhvakh	Northern Akhvakh	akhv1239	42,40035	46,30369	(Magomedbekova 1967, 107)	
eƛ'ːehe / ƛ'ːohe	verb form	NA	converb	косвенная речь	quotative	Akhvakh	Northern Akhvakh	akhv1239	42,40035	46,30369	(Magomedbekova 1967, 107)	
ƛ'e	verb particle	NA	particle	косвенная речь	quotative	Akhvakh	Tad-Magitl'	akhv1239	42,550266	46,348953	(Magomedova & Abdulaeva 2007, 704)	
ʁodːu	free particle	NA	particle	quotative	quotative	Andi	Andi	andi1255	42,7856	46,2639	(Maisak 2017)	
ɬoʁodːu	free particle	NA	particle	quotative	quotative	Andi	Andi	andi1255	42,7856	46,2639	(Maisak 2017)	
ʁodi	free particle	reportative	particle	reportative	reportative	Andi	Andi	andi1255	42,7856	46,2639	(Maisak 2017)	
ɬodi	free particle	reportative	particle	reportative	reportative	Andi	Andi	andi1255	42,7856	46,2639	(Maisak 2017)	
ʁodi	free particle	reportative	particle	цитатная частица	reportative	Andi	Gagatli	andi1255	42,800361	46,292645	(Salimov 2010 (1968), 216)	
ɬodi	free particle	reportative	particle	цитатная частица	reportative	Andi	Gagatli	andi1255	42,800361	46,292645	(Salimov 2010 (1968), 216)	
ʁodːu	free particle	NA	particle	цитатная частица	quotative	Andi	Gagatli	andi1255	42,800361	46,292645	(Salimov 2010 (1968), 229-237)	
(ʁo)jd / (ʁo)did	free particle	NA	particle	quotative	quotative	Andi	Rikvani	andi1255	42,782304	46,319372	(Maisak 2017)	
ɬoʁojd	free particle	NA	particle	quotative	quotative	Andi	Rikvani	andi1255	42,782304	46,319372	(Maisak 2017)	
ʁodi	free particle	reportative	particle	reportative	reportative	Andi	Rikvani	andi1255	42,782304	46,319372	(Maisak 2017)	
ɬodi	free particle	reportative	particle	reportative	reportative	Andi	Rikvani	andi1255	42,782304	46,319372	(Maisak 2017)	
ʁodi	free particle	reportative	particle	reportative	reportative	Andi	Zilo	andi1255	42,731394	46,319223	(Fieldwork)	
(ʁo)du	free particle	NA	particle	quotative	quotative	Andi	Zilo	andi1255	42,731394	46,319223	(Fieldwork)	
er	free particle	reportative	particle	комментатив (показатель косвенной речи)	quotative + reportative	Archi	Archi	arch1244	42,0664	46,8678	(Kibrik 1977, 231-238)	
an	verb particle	reportative	particle	NA	quotative + reportative	Avar	Avar	avar1256	42,43056	46,66639	(Forker 2018)	
ali	free particle	NA	particle	NA	quotative	Avar	Avar	avar1256	42,43056	46,66639	(Forker 2018)	
ali	verb particle	reportative	particle	NA	quotative + reportative	Avar	Avar	avar1256	42,43056	46,66639	(Forker 2018)	
ilan	verb particle	reportative	particle	NA	quotative + reportative	Avar	Avar	avar1256	42,43056	46,66639	(Forker 2018)	
ila	verb particle	reportative	particle	NA	reportative	Avar	Avar	avar1256	42,43056	46,66639	(Forker 2018)	
ʁe	free particle	NA	particle	частица косвенной речи	quotative	Bagvalal	Kvanada	bagv1239	42,561478	46,17397	(Maisak & Chumakina 2001, 723-724)	
(ʁe II ʁa)di	free particle	reportative	particle	частица косвенной речи	quotative + reportative	Bagvalal	Kvanada	bagv1239	42,561478	46,17397	(Maisak & Chumakina 2001, 723-724)	
ʁala	free particle	reportative	particle	частица косвенной речи	quotative + reportative	Bagvalal	Kvanada	bagv1239	42,561478	46,17397	(Maisak & Chumakina 2001, 723-724)	
aino	free particle	NA	particle	reported speech particle	quotative	Bats	Bats	bats1242	42,1806	45,34397	(Holisky & Gagua 1994, 31-32)	
ɬo	free particle	reportative	particle	reported evidential particle	quotative + reportative	Bezhta	Bezhta	bezh1248	42,1206	46,03319	(Khalilova 2011)	
talu	free particle	NA	particle	quotative	quotative	Botlikh	Botlikh	botl1242	42,667813	46,221451	(Gudava 1962, 260)	
kʹul	free particle	NA	particle	частица косвенной речи	quotative	Botlikh	Botlikh	botl1242	42,667813	46,221451	(Gudava 1962, 260)	
χul	free particle	NA	particle	частица косвенной речи	quotative	Botlikh	Botlikh	botl1242	42,667813	46,221451	(Gudava 1962, 260)	
χʷata 	free particle	reportative	particle	reportative	reportative	Botlikh	Botlikh	botl1242	42,667813	46,221451	(Alexeyev & Verhees To appear)	
