form	type	evidential	form_base	base_label	form_aux	aux_type	aux_morph	deriv_stem	lex_type	struct	res	cr	exp	semnr	formnr	meaning	lang	variant	gltc	lat	lon	aff	datapoint	comment	ref	source
-f-e	perfectoid		-f-e	participle		copula	reduced	perfective	participle	analytic			experiential	1	3	cr	Agul	Huppuq	aghu1253	41.66667	47.66667	Lezgic	village Khpyuk			Maisak, Timur A. To appear. ‘Structural and functional variations of the perfect in Lezgic languages’. Kristin Melum Eide & Mark Fryd (eds.) The Perfect Volume. Amsterdam: John Benjamins.
-najef-e	perfectoid		-najef-e	resultative participle		copula	reduced	perfective	participle	analytic		current relevance		1	3	cr	Agul	Huppuq	aghu1253	41.66667	47.66667	Lezgic	village Khpyuk	Formed with a participialized form of the Perfect, has a weak inferential meaning.		Maisak, Timur A. & Solmaz R. Merdanova. 2016. ‘Perfekt i smežnye značenija v agul’skom jazyke’ [Perfect and related meanings in Aghul]. Timur A. Maisak, Vladimir A. Plungian & Ksenia P. Semënova (eds.) Tipologija Perfekta [Typology of the perfect]. St.-Petersburg: Nauka, 379-424.
-naa/naja	perfectoid	unwitnessed	-naa/naja < -na  		a/aa/aja	copula	reduced	perfective	converb	synthetic	resultative	current relevance		3	3	res, cr, evidential	Agul	Huppuq	aghu1253	41.66667	47.66667	Lezgic	village Khpyuk			Maisak, Timur A. To appear. ‘Structural and functional variations of the perfect in Lezgic languages’. Kristin Melum Eide & Mark Fryd (eds.) The Perfect Volume. Amsterdam: John Benjamins.
-wudi	suffix	unwitnessed	-wudi	perfective wudi		no auxiliary	no auxiliary		unclear	synthetic				NA	NA	evidential	Akhvakh	Axaxdɘrɘ	akhv1239	41.6624507	46.6360615	Andic	village Akhakh-Dere			Creissels, Denis. 2018. ‘Perfective tenses and epistemic modality in Northern Akhvakh’. Diana Forker & Timur Maisak (eds.) The semantics of verbal categories in Nakh-Daghestanian languages. Leiden: Brill, 166-187.
-eːhe gʷeda 	perfectoid	unwitnessed	-eːhe 	past converb	gʷeda	copula	full		converb	analytic				1	1	evidential	Akhvakh	Northern Akhvakh	akhv1239	42.40035	46.30369	Andic	glottolog point Akhvakh			Magomedbekova, Zagidat M. 1967. Axvaxskij jazyk [Akhvakh]. Tbilisi: Mecniereba.
-oː/eː/aː/iː/ereː/areː(-hi/he/ho) godi 	perfectoid		-oː/eː/aː/iː/ereː/areː(-hi/he/ho)	general converb	godi	copula	full	bare	converb	analytic		current relevance		1	1	res	Akhvakh	Axaxdɘrɘ	akhv1239	41.6624507	46.6360615	Andic	village Akhakh-Dere	The distribution of allomorphs used to form the General Converb is described in Creissels (2012), also referenced under “Source”.		Creissels, Denis. 2018. ‘Perfective tenses and epistemic modality in Northern Akhvakh’. Diana Forker & Timur Maisak (eds.) The semantics of verbal categories in Nakh-Daghestanian languages. Leiden: Brill, 166-187.; Creissels, Denis. 2012. ‘External agreement in the converbal construction of Northern Akhvakh.’ Volker Gast & Holger Diessel (eds.) Clause linkage in cross-linguistic perspective. Berlin: De Gruyter Mouton, 127-156.
-j/nij	perfectoid	unwitnessed	-j/nij	general converb / perfect		no auxiliary	no auxiliary	past	converb	synthetic	resultative	current relevance		3	1	res, cr, evidential	Andi	Zilo	andi1255	42.731394	46.319223	Andic	village Zilo			Personal fieldwork 2017.
-dːu	perfectoid	unwitnessed	-dːu	general converb / perfect		no auxiliary	no auxiliary	past	converb	synthetic	resultative			2	1	res, evidential	Andi	Andi	andi1255	42.7856	46.2639	Andic	village Andi			Kibrik, Andrei A. 1985. ‘Absentiv-Aorist und Resultativ in der andischen Sprache’. Heinz Fähnrich (ed.) Sprachen Europas und Asiens. Jena: Friedrich Schiller Universität, 55-66.
-d	perfectoid	unwitnessed	-d	general converb / perfect		no auxiliary	no auxiliary	past	converb	synthetic	resultative			2	1	res, evidential	Andi	Rikvani	andi1255	42.782304	46.319372	Andic	village Rikvani			Verhees, Samira. 2018. ‘The perfect in Avar and Andi. Cross-linguistic variation among two closely-related East Caucasian languages’. Dalila Ayoun, Agnès Celle, Laure Lansari (eds.) Tense, aspect, modality and evidentiality: Cross-linguistic perspectives. Amsterdam: John Benjamins, 261-280.
-li bi 	perfectoid		-li 	perfective converb	bi	copula	full	perfective	converb	analytic	resultative			1	2	res	Archi	Archi	arch1244	42.0664	46.8678	Lezgic	glottolog point Archi			Maisak, Timur A. To appear. ‘Structural and functional variations of the perfect in Lezgic languages’. Kristin Melum Eide & Mark Fryd (eds.) The Perfect Volume. Amsterdam: John Benjamins.
-li	perfectoid	unwitnessed	-li	converb		no auxiliary	no auxiliary	perfective	converb	synthetic	resultative	current relevance		3	2	res, cr, evidential	Archi	Archi	arch1244	42.0664	46.8678	Lezgic	glottolog point Archi			Maisak, Timur A. To appear. ‘Structural and functional variations of the perfect in Lezgic languages’. Kristin Melum Eide & Mark Fryd (eds.) The Perfect Volume. Amsterdam: John Benjamins.
-la-[person/class]	suffix	unwitnessed	-la-[person/class]	past unwitnessed		no auxiliary	full		unclear	synthetic				NA	NA	evidential	Avar	Zaqatala	avar1256	41.63361	46.64333	Avar	city Zaqatala			Saidova, Patimat A. 2007. Zakatal’skij dialekt avarskogo jazyka [The Zaqatala dialect of Avar]. Makhachkala: IJaLI.
-un cm-ugo 	perfectoid	unwitnessed	-un 	past converb	cm-ugo	copula	full	bare	converb	analytic	resultative	current relevance		3	1	res, cr, evidential	Avar	Avar	avar1256	42.43056	46.66639	Avar	glottolog point Avar			Mallaeva, Zulajxat M. 2007. Glagol avarskogo jazyka: Struktura, semantika, funkcii [The verb in Avar: Structure, semantics and functions]. Makhachkala: IJaLI.
-mIš/Ib-[person]	perfectoid		-mIš/Ib-[person]	past participle		no auxiliary	no auxiliary		participle	synthetic		current relevance		1	1	cr	Azerbaijani	Azerbaijani	nort2697	40.97767	46.4737	Turkic	glottolog point North Azerbaijani			Shiraliev, M. Sh. & E.V. Sevortyan. 1971. Grammatika azerbajdžandskogo jazyka (fonetika, morfologija i sintaksis) [The grammar of Azerbaijani (phonetics, morphology and syntax)]. Baku: Elm.; Johanson, Lars. 2018. ‘Turkic indirectivity’. Alexandra Y. Aikhenvald (ed.) The Oxford handbook of evidentiality. Oxford: Oxford University Press, 510-524.; Zaslansky, Matthew. 2019. ‘The overabundance of the perfect and the decay of evidentiality in Standard Azerbaijani’. TU+4 - NYU, New York. 16.02.2019. (Handout)
-u-cm ek'ʷa 	perfectoid		-u-cm 	past participle	ek'ʷa	copula	full	past	participle	analytic	resultative			1	2	res	Bagvalal	Kvanada	bagv1239	42.561478	46.17397	Andic	village Kvanada			Tatevosov, Sergei G. 2001. ‘Analitičeskie glagol’nye formy’ [Periphrastic verb forms]. Alexandr E. Kibrik, Konstantin I. Kazenin, Jekaterina A. Ljutikova, Sergej G. Tatevosov (eds.) Bagvalinskij jazyk. Grammatika. Teksty. Slovari [The Bagvalal language. Grammar.  Texts. Dictionary]. Moscow: IMLI RAN Nasledie, 105-115.
-cm-o ek'ʷa 	perfectoid	unwitnessed	-cm-o 	perfective converb	ek'ʷa	copula	full	past	converb	analytic	resultative	current relevance		3	2	res, cr, evidential	Bagvalal	Kvanada	bagv1239	42.561478	46.17397	Andic	village Kvanada			Maisak, Timur A. & Sergei G. Tatevosov. 2001. ‘Évidencial’nost’’ [Evidentiality]. Alexandr E. Kibrik, Konstantin I. Kazenin, Jekaterina A. Ljutikova, Sergej G. Tatevosov (eds.) Bagvalinskij jazyk. Grammatika. Teksty. Slovari [The Bagvalal language. Grammar.  Texts. Dictionary]. Moscow: IMLI RAN Nasledie, 293-317.
-no	suffix	unwitnessed	-no 	past participle/converb		no auxiliary	no auxiliary		unclear	synthetic				NA	NA	evidential	Bats	Bats	bats1242	42.1806	45.34397	Nakh	glottolog point Bats	"-no is also the participle/converb suffix, it attaches to aorist to form ""reported aorist"", another morpheme -lo exists, which is homophonous with the subjunctive and forms reported equivalents of tenses other than the aorist."		Holisky, Dee Ann & Rusudan Gagua. 1994. ‘Tsova-Tush (Batsbi)’. Rieks Smeets (ed.) The indigenous languages of the Caucasus vol. 4 part 2. Delmar: Caravan, 147-212.
-no-cm-a 	perfectoid		-no	past participle/converb	-cm-a	copula	full	aorist	participle	analytic	resultative		experiential	NA	1	res, cr	Bats	Bats	bats1242	42.1806	45.34397	Nakh	glottolog point Bats	Used in negative contexts, similar to the Aorist Reported (aorist + -no).		Holisky, Dee Ann & Rusudan Gagua. 1994. ‘Tsova-Tush (Batsbi)’. Rieks Smeets (ed.) The indigenous languages of the Caucasus vol. 4 part 2. Delmar: Caravan, 147-212.
-na gey	perfectoid	unwitnessed	-na 	perfective converb	gey	copula	full		converb	analytic		current relevance		2	1	cr, evidential	Bezhta	Bezhta	bezh1248	42.1206	46.03319	Tsezic	glottolog point Bezhta	The copula is optional for indirect evidentiality (Unwitnessed) and obligatory for Perfect.		Khalilova, Zaira A. 2011. ‘Evidentiality in Tsezic languages’. Linguistic Discovery 9(2), 30-48.
-ida // -a/-u ida 	perfectoid	unwitnessed	-ida < -a/-u 	perfect / general converb	ida	copula	full	bare	converb	analytic	resultative	current relevance		3	1	res, cr, evidential	Botlikh	Botlikh	botl1242	42.667813	46.221451	Andic	village Botlikh	Converb is equal to Aorist. Copula is sometimes added directly to the bare stem as a suffix.		Alekseyev, Mikhail & Samira Verhees. To appear. ‘Botlikh’. Yuri Koryakov & Timur Maisak (eds.) Handbook of Caucasian Languages. Vol. 2. Nakh-Daghestanian. Berlin/New York: De Gruyter Mouton.
-vi 	perfectoid		-vi < [pfv.ptcp] 	perfective participle	vi	copula	reduced	perfective	participle	synthetic	resultative	current relevance		2	1	res, cr	Budukh	Budukh	budu1248	41.22722	48.33533	Lezgic	glottolog point Budukh			Maisak, Timur A. To appear. ‘Structural and functional variations of the perfect in Lezgic languages’. Kristin Melum Eide & Mark Fryd (eds.) The Perfect Volume. Amsterdam: John Benjamins.
-dːu ide	perfectoid	unwitnessed	-dːu 	past converb	ide	copula	full		converb	analytic				1	1	evidential	Chamalal	Gadiri	cham1309	42.566265	46.065746	Andic	village Gadiri			Bokarëv, Anatolij A. 1949. Očerki grammatiki čamalinskogo jazyka [Chamalal grammar sketches]. Moscow/Leningrad: Izdatel’stvo Akademii Nauk SSSR.
-eːda / -iːda 	perfectoid	unwitnessed	-eːda / -iːda < -a/i 	past converb	ida	copula	reduced	bare	converb	synthetic				1	1	evidential	Chamalal	Gakvari	cham1309	42.547874	46.032686	Andic	village Verkhnie Gakvari	There are two more allomorphs of the Past Converb, but their form is unreadable in the scan of the book.		Bokarëv, Anatolij A. 1949. Očerki grammatiki čamalinskogo jazyka [Chamalal grammar sketches]. Moscow/Leningrad: Izdatel’stvo Akademii Nauk SSSR.
-dːa	perfectoid	unwitnessed	-dːa < -t'u	past converb	ida	copula	reduced	past	converb	synthetic				1	1	evidential	Chamalal	Gigatl’	cham1309	42.58136	46.0964	Andic	village Gigatl’			Bokarëv, Anatolij A. 1949. Očerki grammatiki čamalinskogo jazyka [Chamalal grammar sketches]. Moscow/Leningrad: Izdatel’stvo Akademii Nauk SSSR.
-na	perfectoid		-na	anterior converb		no auxiliary	no auxiliary	perfective	converb	synthetic		current relevance		1	2	cr, evidential	Chechen	Chechen	chec1245	43.5	45.5	Nakh	glottolog point Chechen	Converb is equal to participle. Evidential meaning is described in Desheriev (1963).		Molochieva, Zarina. 2010. Tense, aspect and mood in Chechen. University of Leipzig: Dissertation.; Molochieva, Zarina & Johanna Nichols. 2018. ‘Tense, aspect, mood and evidentiality in Chechen and Ingush.’ Diana Forker & Timur Maisak (eds.) The semantics of verbal categories in Nakh-Daghestanian languages. Leiden/Boston: Brill, 26-48.; Junus D. Desheriev. 1963. Sravitel’no-istoričeskaja grammatika naxskix jazykov i problemy proisxoždenij i istoričeskogo razvitija gorskix narodov [Historical comparative grammar of the Nakh languages and the origin and historical development of mountain peoples]. Grozny: Čečeno-ingušskoe knižnoe izdatel’stvo.
-na cm-u 	perfectoid		-na 	anterior converb	cm-u	copula	full	perfective	converb	analytic	resultative			1	2	res	Chechen	Chechen	chec1245	43.5	45.5	Nakh	glottolog point Chechen	Converb is equal to participle.		Molochieva, Zarina. 2010. Tense, aspect and mood in Chechen. University of Leipzig: Dissertation.; Molochieva, Zarina & Johanna Nichols. 2018. ‘Tense, aspect, mood and evidentiality in Chechen and Ingush.’ Diana Forker & Timur Maisak (eds.) The semantics of verbal categories in Nakh-Daghestanian languages. Leiden/Boston: Brill, 26-48.; Junus D. Desheriev. 1963. Sravitel’no-istoričeskaja grammatika naxskix jazykov i problemy proisxoždenij i istoričeskogo razvitija gorskix narodov [Historical comparative grammar of the Nakh languages and the origin and historical development of mountain peoples]. Grozny: Čečeno-ingušskoe knižnoe izdatel’stvo.
-si=ra/ri/sa<cm>i 	perfectoid		-si 	past participle	=ra/ri/sa<cm>i	person clitic	full	preterite	participle	analytic			experiential	1	2	cr	Dargwa	Dargwa Standard	darg1241	42.275664	47.340107	Dargwa	glottolog point North Dargwa			Mutalov, Rasul. 2018. ‘The tense/aspect system of Standard Dargwa.’ Diana Forker & Timur Maisak (eds.) The semantics of verbal categories in Nakh-Daghestanian languages. Leiden: Brill, 49-79.
-ib-zi-cm=da/di/ca<cm>i 	perfectoid		-ib-zi-cm 	perfective participle	=da/di/ca<cm>i	person clitic	full	bare	participle	analytic			experiential	1	3	cr	Dargwa	Shiri	darg1241	42.060627	47.589895	Dargwa	village Shiri			Belyaev, Oleg. 2018. ‘Aorist, resultative and perfect in Shiri Dargwa and beyond’. Diana Forker & Timur Maisak (eds.) The semantics of verbal categories in Nakh-Daghestanian languages. Leiden: Brill, 80-119.
-ib=da/di/Ø 	perfectoid		-ib 	perfective participle	=da/di/Ø	person clitic	defective	bare	participle	synthetic		current relevance		1	3	cr	Dargwa	Shiri	darg1241	42.060627	47.589895	Dargwa	village Shiri	Zero copula in third person.		Belyaev, Oleg. 2018. ‘Aorist, resultative and perfect in Shiri Dargwa and beyond’. Diana Forker & Timur Maisak (eds.) The semantics of verbal categories in Nakh-Daghestanian languages. Leiden: Brill, 80-119.
-ib=[person] 	perfectoid	unwitnessed	-ib 	perfective participle	=[person]	person clitic	full		participle	analytic		current relevance		2	2	cr, evidential	Dargwa	Icari	darg1241	41.99733	47.5833	Dargwa	village Itsari			Belyaev, Oleg. 2018. ‘Aorist, resultative and perfect in Shiri Dargwa and beyond’. Diana Forker & Timur Maisak (eds.) The semantics of verbal categories in Nakh-Daghestanian languages. Leiden: Brill, 80-119.
-ib=[person] 	perfectoid	unwitnessed	-ib 	perfective participle	=[person]	person clitic	full		participle	analytic				1	2	evidential	Dargwa	Kaitag	darg1241	42.06139	47.79597	Dargwa	glottolog point Kajtak			Belyaev, Oleg. 2018. ‘Aorist, resultative and perfect in Shiri Dargwa and beyond’. Diana Forker & Timur Maisak (eds.) The semantics of verbal categories in Nakh-Daghestanian languages. Leiden: Brill, 80-119.
-ib=[person] 	perfectoid	unwitnessed	-ib 	perfective participle	=[person]	person clitic	full		participle	analytic				1	2	evidential	Dargwa	Kubachi	darg1241	42.0856	47.6031	Dargwa	village Kubachi			Belyaev, Oleg. 2018. ‘Aorist, resultative and perfect in Shiri Dargwa and beyond’. Diana Forker & Timur Maisak (eds.) The semantics of verbal categories in Nakh-Daghestanian languages. Leiden: Brill, 80-119.
-ib-li=[person] 	perfectoid		-ib-li 	perfective converb	=[person]	person clitic	full		converb	analytic	resultative			1	2	res	Dargwa	Icari	darg1241	41.99733	47.5833	Dargwa	village Itsari			Belyaev, Oleg. 2018. ‘Aorist, resultative and perfect in Shiri Dargwa and beyond’. Diana Forker & Timur Maisak (eds.) The semantics of verbal categories in Nakh-Daghestanian languages. Leiden: Brill, 80-119.
-ib-li=[person] 	perfectoid		-ib-li 	perfective converb	=[person]	person clitic	full		converb	analytic	resultative	current relevance		2	2	res, cr	Dargwa	Kaitag	darg1241	42.06139	47.79597	Dargwa	glottolog point Kajtak			Belyaev, Oleg. 2018. ‘Aorist, resultative and perfect in Shiri Dargwa and beyond’. Diana Forker & Timur Maisak (eds.) The semantics of verbal categories in Nakh-Daghestanian languages. Leiden: Brill, 80-119.
-ib-li=[person] 	perfectoid		-ib-li 	perfective converb	=[person]	person clitic	full		converb	analytic	resultative	current relevance		2	2	res, cr	Dargwa	Kubachi	darg1241	42.0856	47.6031	Dargwa	village Kubachi			Belyaev, Oleg. 2018. ‘Aorist, resultative and perfect in Shiri Dargwa and beyond’. Diana Forker & Timur Maisak (eds.) The semantics of verbal categories in Nakh-Daghestanian languages. Leiden: Brill, 80-119.
-ib-li=[person]  	perfectoid	unwitnessed	-ib-li 	perfective converb	=[person] 	person clitic	full		converb	analytic	resultative	current relevance		3	1	res, cr, evidential	Dargwa	Akusha	darg1241	42.275664	47.340107	Dargwa	village Akusha			Belyaev, Oleg. 2018. ‘Aorist, resultative and perfect in Shiri Dargwa and beyond’. Diana Forker & Timur Maisak (eds.) The semantics of verbal categories in Nakh-Daghestanian languages. Leiden: Brill, 80-119.
-ib-li=[person]	perfectoid	unwitnessed	-ib-li 	perfective converb	=[person]	person clitic	full		converb	analytic	resultative	current relevance		3	1	res, cr, evidential	Dargwa	Ashti	darg1241	41.961098	47.502559	Dargwa	village Ashty			Belyaev, Oleg. 2018. ‘Aorist, resultative and perfect in Shiri Dargwa and beyond’. Diana Forker & Timur Maisak (eds.) The semantics of verbal categories in Nakh-Daghestanian languages. Leiden: Brill, 80-119.
-ib-li=[person] 	perfectoid	unwitnessed	-ib-li 	perfective converb	=[person]	person clitic	full		converb	analytic	resultative	current relevance		3	1	res, cr, evidential	Dargwa	Tanti	darg1241	42.1642	47.3167	Dargwa	village Tanty			Belyaev, Oleg. 2018. ‘Aorist, resultative and perfect in Shiri Dargwa and beyond’. Diana Forker & Timur Maisak (eds.) The semantics of verbal categories in Nakh-Daghestanian languages. Leiden: Brill, 80-119.
-li=ra/ri/sa<cm>i 	perfectoid	unwitnessed	-li 	past converb	=ra/ri/sa<cm>i	person clitic	full	preterite	converb	analytic	resultative			2	2	res, evidential	Dargwa	Dargwa Standard	darg1241	42.275664	47.340107	Dargwa	glottolog point North Dargwa			Mutalov, Rasul. 2018. ‘The tense/aspect system of Standard Dargwa.’ Diana Forker & Timur Maisak (eds.) The semantics of verbal categories in Nakh-Daghestanian languages. Leiden: Brill, 49-79.
-ib-li=da/di/ca<cm>i 	perfectoid	unwitnessed	-ib-li 	perfective converb	=da/di/ca<cm>i	person clitic	full	bare	converb	analytic	resultative			2	3	res, evidential	Dargwa	Shiri	darg1241	42.060627	47.589895	Dargwa	village Shiri			Belyaev, Oleg. 2018. ‘Aorist, resultative and perfect in Shiri Dargwa and beyond’. Diana Forker & Timur Maisak (eds.) The semantics of verbal categories in Nakh-Daghestanian languages. Leiden: Brill, 80-119.
