survey	id	sentence_nr	context	sentence	translat_original	translit_morph	gloss	translation	target_verb	target_trans	form_label	exp	given	speaker	idiom	language	gender	birthyear	date	comment
pn	1	1	direct	Несколько лет назад мы с братом шли по лесу и собирали ягоды.	чомло решин седу ден воццлогу решл1и гьиргъалол рак1арадо вок1о	čomlo rešin sedu den wocː=logu reš-ƛi hirʁalol r-ak’ar-ado w-ok’o	some year ago 1sg brother=com forest-inter raspberry.pl inantwo-gather-prog m-pl.be.aor		gather	рак1арадо вок1о	past progressive	other	other	A	Rikvani	Andi	M	NA	8.2017	
pn	15	1	indirect	Мне рассказывали, что однажды моя бабушка шла по лесу, собирала ягоды.	дилъу босвадо бик1о себ заман дий йеч1уха баба решл1и гьиргъалол рак1арадо йик1о	di-ɬu bosw-ado b-ik’o se-b zaman di-j j-eč’uχa baba reš-ƛi hirʁalol r-ak’ar-ado j-ik’o	1sg-dat tell-prog inanone-be.aor one-inanone time {1sg-f[gen] f-big mom forest-{inter raspberry.pl inantwo-gather-prog f-be.aor		tell	босвадо бик1о	past progressive	other	other	A	Rikvani	Andi	M	NA	8.2017	
pn	16	1	indirect	Мне рассказывали, что однажды моя бабушка шла по лесу, собирала ягоды.	дилъу босвадо бик1о себ заман дий йеч1уха баба решл1и гьиргъалол рак1арадо йик1о	di-ɬu bosw-ado b-ik’o se-b zaman di-j j-eč’uχa baba reš-ƛi hirʁalol r-ak’ar-ado j-ik’o	1sg-dat tell-prog inanone-be.aor one-inanone time {1sg-f[gen] f-big mom forest-{inter raspberry.pl inantwo-gather-prog f-be.aor		gather	рак1арадо йик1о	past progressive	other	other	A	Rikvani	Andi	M	NA	8.2017	
pn	30	1	direct	Несколько лет назад мы с братом шли по лесу и собирали ягоды. 	чомболо решин седу ден воццилойгу вугъи вуъинне решл1и пихъи бак1арунну	čombolo rešin sedu den wocːi=lojgu w-uʁi w-uʔinn-e reš-ƛi piqi b-ak’arun-nu	several year ago 1sg brother=com m-be.aor m-go-hab forest-inter fruit inanone-gather-inf		gather	бак1арунну	infinitive	other	other	AAJu	Zilo	Andi	F	2002	8.2017	
pn	31	1	direct	Несколько лет назад мы с братом шли по лесу и собирали ягоды. 	чомболо решин седу ден воццилойгу вугъи вуъинне решл1и пихъи бак1арунну	čombolo rešin sedu den wocːi=lojgu w-uʁi w-uʔinn-e reš-ƛi piqi b-ak’arun-nu	several year ago 1sg brother=com m-be.aor m-go-hab forest-inter fruit inanone-gather-inf		go	вугъи вуъинне	past habitual	other	other	AAJu	Zilo	Andi	F	2002	8.2017	
pn	44	1	indirect	мне рассказывали, что однажды моя бабушка шла по лесу, собирала ягоды. 	дихъи боссомадо бигъи дий илуди йиъонний решл1илоду к1ерк1ешол бак1арумадогъоду	di-qi bosːo-mado b-iʁi di-j ilu-di j-iʔonni-j reš-ƛi=lodu k’erk’ešol b-ak’aru-mado=ʁodu	1sg-instr tell-prog inanone-be.aor 1sg-f[gen] mother-erg f-go-cvb forest-inter=sbr ?.pl inanone-gather-prog=rep		tell	боссомадо бигъи	past progressive	other	other	AAJu	Zilo	Andi	F	2002	8.2017	
pn	45	1	indirect	мне рассказывали, что однажды моя бабушка шла по лесу, собирала ягоды. 	дихъи боссомадо бигъи дий илуди йиъонний решл1илоду к1ерк1ешол бак1арумадогъоду	di-qi bosːo-mado b-iʁi di-j ilu-di j-iʔonni-j reš-ƛi=lodu k’erk’ešol b-ak’aru-mado=ʁodu	1sg-instr tell-prog inanone-be.aor 1sg-f[gen] mother-erg f-go-cvb forest-inter=sbr ?.pl inanone-gather-prog=rep		go	йиъонний	perfect	other	perfect	AAJu	Zilo	Andi	F	2002	8.2017	
pn	46	1	indirect	мне рассказывали, что однажды моя бабушка шла по лесу, собирала ягоды. 	дихъи боссомадо бигъи дий илуди йиъонний решл1илоду к1ерк1ешол бак1арумадогъоду	di-qi bosːo-mado b-iʁi di-j ilu-di j-iʔonni-j reš-ƛi=lodu k’erk’ešol b-ak’aru-mado=ʁodu	1sg-instr tell-prog inanone-be.aor 1sg-f[gen] mother-erg f-go-cvb forest-inter=sbr ?.pl inanone-gather-prog=rep		gather	бак1арумадо	progressive	other	other	AAJu	Zilo	Andi	F	2002	8.2017	
pn	61	1	direct	Несколько лет назад мы с братом шли по лесу и собирали ягоды. 	чом рещин седа денно див воццло вол*инно вок1о решл1икку, реххилол рак1арвадогужа 	čom rešin seda den=no di-w wocː=lo w-ol’in-no w-ok’o reš-ƛi-kːu, reχːilol r-ak’ar-ado=guža	some year ago 1sg=add 1sg-m[gen] brother=add m-pl.go-hab m-pl.be.aor forest-inter-el strawberry.pl inantwo-gather-prog=sim		go	вол*инно вок1о	past habitual	other	other	ABE	Rikvani	Andi	F	1979	8.2017	
pn	62	1	direct	Несколько лет назад мы с братом шли по лесу и собирали ягоды. 	чом рещин седа денно див воццло вол*инно вок1о решл1икку, реххилол рак1арвадогужа 	čom rešin seda den=no di-w wocː=lo w-ol’in-no w-ok’o reš-ƛi-kːu, reχːilol r-ak’ar-ado=guža	some year ago 1sg=add 1sg-m[gen] brother=add m-pl.go-hab m-pl.be.aor forest-inter-el strawberry.pl inantwo-gather-prog=sim		gather	рак1арвадогужа 	progressive converb	other	other	ABE	Rikvani	Andi	F	1979	8.2017	
pn	78	1	indirect	Мне рассказывали, что однажды моя бабушка шла по лесу, собирала ягоды. 	дилъу боссон сер зув дий йеч1уха баба йил*инно йик1о решл1икку, рихилол рак1арадогужа	di-ɬu bosːon se-r zuw di-j j-eč’uχa baba j-il’in-no j-ik’o reš-ƛi-kːu, riχilol r-ak’ar-ado=guža	1sg-dat tell.aor one-inantwo day 1sg-f[gen] f-big mom f-go-hab f-be.aor forest-inter-el strawberry.pl inantwo-gather-prog=sim		tell	боссон	aorist	other	past	ABE	Rikvani	Andi	F	1979	8.2017	
pn	79	1	indirect	Мне рассказывали, что однажды моя бабушка шла по лесу, собирала ягоды. 	дилъу боссон сер зув дий йеч1уха баба йил*инно йик1о решл1икку, рихилол рак1арадогужа	di-ɬu bosːon se-r zuw di-j j-eč’uχa baba j-il’in-no j-ik’o reš-ƛi-kːu, riχilol r-ak’ar-ado=guža	1sg-dat tell.aor one-inantwo day 1sg-f[gen] f-big mom f-go-hab f-be.aor forest-inter-el strawberry.pl inantwo-gather-prog=sim		go	йил*инно йик1о	past habitual	other	other	ABE	Rikvani	Andi	F	1979	8.2017	
pn	80	1	indirect	Мне рассказывали, что однажды моя бабушка шла по лесу, собирала ягоды. 	дилъу боссон сер зув дий йеч1уха баба йил*инно йик1о решл1икку, рихилол рак1арадогужа	di-ɬu bosːon se-r zuw di-j j-eč’uχa baba j-il’in-no j-ik’o reš-ƛi-kːu, riχilol r-ak’ar-ado=guža	1sg-dat tell.aor one-inantwo day 1sg-f[gen] f-big mom f-go-hab f-be.aor forest-inter-el strawberry.pl inantwo-gather-prog=sim		gather	рак1арадогужа	progressive converb	other	other	ABE	Rikvani	Andi	F	1979	8.2017	
pn	94	1	direct	Несколько лет назад мы с братом шли по лесу и собирали ягоды. 	чомболло решинседу денно воццило воъон решл1и гьелъукку бак1арун ц1обол ч1ат1и	čom-bolo rešin sedu den=no wocːi=lo w-oʔon reš-ƛi he-ɬu-kːu b-ak’arun c’obol.č’at’i	some-indef year ago 1sg=add brother=add m-pl.go.aor forest-inter dem-adv-el inanone-gather.aor wild_raspberry		gather	бак1арун	aorist	other	past	AMKh	Rushukha	Andi	F	1984	8.2017	
pn	95	1	direct	Несколько лет назад мы с братом шли по лесу и собирали ягоды. 	чомболло решинседу денно воццило воъон решл1и гьелъукку бак1арун ц1обол ч1ат1и	čom-bolo rešin sedu den=no wocːi=lo w-oʔon reš-ƛi he-ɬu-kːu b-ak’arun c’obol.č’at’i	some-indef year ago 1sg=add brother=add m-pl.go.aor forest-inter dem-adv-el inanone-gather.aor wild_raspberry		go	воъон	aorist	other	past	AMKh	Rushukha	Andi	F	1984	8.2017	
pn	108	1	indirect	Мне рассказывали, что однажды моя бабушка шла по лесу, собирала ягоды. 	себ онши иший ила решл1и йиъон дихъи боссон дий илуди бак1арун ц1орол ч1ат1и	se-b onši iši-j ila reš-ƛi j-iʔon di-qi bosːon di-j ilu-di b-ak’arun c’orol.č’at’i	one-inanone time 1pl.excl-f[gen] mother forest-inter f-go.aor 1sg-instr tell.aor 1sg-f[gen] mother-erg inanone-gather.aor wild_raspberry		gather	бак1арун	aorist	other	past	AMKh	Rushukha	Andi	F	1984	8.2017	
pn	109	1	indirect	Мне рассказывали, что однажды моя бабушка шла по лесу, собирала ягоды. 	себ онши иший ила решл1и йиъон дихъи боссон дий илуди бак1арун ц1орол ч1ат1и	se-b onši iši-j ila reš-ƛi j-iʔon di-qi bosːon di-j ilu-di b-ak’arun c’orol.č’at’i	one-inanone time 1pl.excl-f[gen] mother forest-inter f-go.aor 1sg-instr tell.aor 1sg-f[gen] mother-erg inanone-gather.aor wild_raspberry		tell	боссон	aorist	other	past	AMKh	Rushukha	Andi	F	1984	8.2017	
