id	map	feature	lang	ref
abi	78a	No grammatical evidentials	Abipón	Najlis 1966
abk	78a	Verbal affix or clitic	Abkhaz	Hewitt 1979
acm	78a	Verbal affix or clitic	Achumawi	de Angulo and Freeland 1931
aco	78a	Verbal affix or clitic	Acoma	Miller 1965
afr	78a	Separate particle	Afrikaans	
agr	78a	No grammatical evidentials	Aguaruna	Larsen 1963
ain	78a	Verbal affix or clitic	Ainu	Shibatani 1990
akh	78a	Verbal affix or clitic	Akha	Thurgood 1986
abm	78a	Verbal affix or clitic	Alabama	Sylestine et al. 1993
ala	78a	No grammatical evidentials	Alamblak	Bruce 1984
alw	78a	No grammatical evidentials	Alawa	Sharpe 1972
alb	78a	Verbal affix or clitic	Albanian	Friedman 1986
amc	78a	Verbal affix or clitic	Amahuaca	Sparing-Chavez 1998
amd	78a	Verbal affix or clitic	Amdo	Sun 1993
ame	78a	No grammatical evidentials	Amele	Roberts 1987
amu	78a	Verbal affix or clitic	Amuesha	Wise 1986
adk	78a	Verbal affix or clitic	Andoke	Landaburu 1979
agt	78a	No grammatical evidentials	Anguthimri	Crowley 1981
apc	78a	Verbal affix or clitic	Apache (Chiricahua)	Hoijer 1946a
apl	78a	Separate particle	Apalaí	Koehn and Koehn 1986
apu	78a	Verbal affix or clitic	Apurinã	Facundes 2000
aeg	78a	No grammatical evidentials	Arabic (Egyptian)	Gary and Gamal-Eldin 1982
arg	78a	Verbal affix or clitic	Arabic (Gulf)	Holes 1990
ana	78a	Separate particle	Araona	Pitman 1980
aho	78a	Verbal affix or clitic	Arapaho	Salzmann 1967
arp	78a	No grammatical evidentials	Arapesh (Mountain)	Conrad and Wogiga 1991
arc	78a	Verbal affix or clitic	Archi	Kibrik 1994a
akr	78a	Verbal affix or clitic	Arikara	Merlan 1975
arw	78a	Part of the tense system	Armenian (Western)	Donabédian 1996
asm	78a	Verbal affix or clitic	Asmat	Voorhoeve 1965
awp	78a	No grammatical evidentials	Awa Pit	Curnow 1997
aym	78a	Verbal affix or clitic	Aymara (Central)	Hardman 1986
baa	78a	No grammatical evidentials	Barai	Olson 1973
brs	78a	Part of the tense system	Barasano	Jones and Jones 1991
bsq	78a	Separate particle	Basque	Saltarelli et al. 1988
bkr	78a	No grammatical evidentials	Batak (Karo)	Woollams 1996
baq	78a	Separate particle	Baure	Baptista and Wallin 1967
baw	78a	No grammatical evidentials	Bawm	Reichle 1981
bej	78a	Separate particle	Beja	Dahl 1984
bco	78a	Verbal affix or clitic	Bella Coola	Newman 1969
beb	78a	No grammatical evidentials	Benabena	Young 1971
bse	78a	No grammatical evidentials	Berber (Ayt Seghrouchen Middle Atlas)	Bentolila 1981
blx	78a	Separate particle	Biloxi	Einaudi 1976
bla	78a	No grammatical evidentials	Blackfoot	Frantz 1991
bor	78a	Verbal affix or clitic	Bora	Thiesen 1996
brh	78a	No grammatical evidentials	Brahui	Andronov 1980
bre	78a	No grammatical evidentials	Breton	Press 1986
bdk	78a	No grammatical evidentials	Budukh	Alekseev 1994a
bul	78a	Part of the tense system	Bulgarian	Friedman 1986
brm	78a	No grammatical evidentials	Burmese	Bernot 1980
bur	78a	No grammatical evidentials	Burushaski	Lorimer 1935
cah	78a	Verbal affix or clitic	Cahuilla	Seiler 1977
cax	78a	No grammatical evidentials	Campa (Axininca)	Payne 1981
can	78a	No grammatical evidentials	Candoshi	Anderson and Wise 1963
ckr	78a	No grammatical evidentials	Canela-Krahô	Popjes and Popjes 1986
cnt	78a	Separate particle	Cantonese	Matthews 1997
crp	78a	Part of the tense system	Carapana	Metzger 1981
car	78a	Part of the tense system	Carib	Hoff 1986
cyv	78a	No grammatical evidentials	Cayuvava	Key 1967
cbo	78a	Separate particle	Chácobo	Prost 1967
cha	78a	Separate particle	Chamorro	Topping 1973
cco	78a	Verbal affix or clitic	Chasta Costa	Sapir 1914
cso	78a	No grammatical evidentials	Chatino (Sierra Occidental)	Pride 1965
chc	78a	Part of the tense system	Chechen	Nichols 1994a
chl	78a	Verbal affix or clitic	Chehalis (Upper)	Kinkade 1963
cmh	78a	No grammatical evidentials	Chemehuevi	Press 1979
che	78a	Verbal affix or clitic	Cherokee	Reyburn 1954a
cjo	78a	No grammatical evidentials	Chichimeca-Jonaz	de Angulo 1932
ccm	78a	Verbal affix or clitic	Chinantec (Comaltepec)	Anderson 1989
cle	78a	No grammatical evidentials	Chinantec (Lealao)	Rupp 1989
ckl	78a	No grammatical evidentials	Chinook (Lower)	Boas 1911b
cku	78a	Verbal affix or clitic	Chinook (Upper)	Silverstein 1978
chp	78a	Verbal affix or clitic	Chipewyan	Li 1946
ctm	78a	Separate particle	Chitimacha	Swadesh 1946b
cct	78a	Verbal affix or clitic	Choctaw	Broadwell 1987
crt	78a	No grammatical evidentials	Chorote	Gerzenstein 1978
chr	78a	No grammatical evidentials	Chrau	Thomas 1971
chk	78a	No grammatical evidentials	Chukchi	Bogoras 1922
coc	78a	Verbal affix or clitic	Cocama	Faust 1972
coe	78a	Separate particle	Coeur d'Alene	Reichard 1933-1938
cmn	78a	Verbal affix or clitic	Comanche	Charney 1993
coo	78a	Separate particle	Coos (Hanis)	Frachtenberg 1922a
cor	78a	Separate particle	Cora	Casad 1984
dag	78a	No grammatical evidentials	Daga	Murane 1974
dni	78a	Separate particle	Dani (Lower Grand Valley)	Bromley 1981
den	78a	Verbal affix or clitic	Dení	Derbyshire 1986
die	78a	No grammatical evidentials	Diegueño (Mesa Grande)	Langdon 1970
dio	78a	No grammatical evidentials	Diola-Fogny	Sapir 1965
diy	78a	Mixed	Diyari	Austin 1981
djp	78a	No grammatical evidentials	Djapu	Morphy 1983
dre	78a	No grammatical evidentials	Drehu	Tryon 1967a
dmi	78a	Separate particle	Dumi	van Driem 1993
dut	78a	Modal morpheme	Dutch	
dyi	78a	No grammatical evidentials	Dyirbal	Dixon 1972
eka	78a	Part of the tense system	Ekari	Drabbe 1952
eng	78a	No grammatical evidentials	English	
epe	78a	Separate particle	Epena Pedee	Harms 1994
ese	78a	Separate particle	Ese Ejja	Shoemaker and Shoemaker 1967
est	78a	Verbal affix or clitic	Estonian	Valmet et al. 1981
eve	78a	Part of the tense system	Evenki	Nedjalkov 1997
ewe	78a	No grammatical evidentials	Ewe	Westermann 1930
fas	78a	Verbal affix or clitic	Fasu	Loeweke and May 1980
fij	78a	No grammatical evidentials	Fijian	Schütz 1985
fin	78a	Modal morpheme	Finnish	Kangasniemi 1992
for	78a	No grammatical evidentials	Fore	Scott 1973
fox	78a	Verbal affix or clitic	Fox	Jones and Michelson 1911
fre	78a	Modal morpheme	French	
fur	78a	No grammatical evidentials	Fur	Jakobi 1990
gag	78a	Part of the tense system	Gagauz	Menz 2000
grf	78a	Verbal affix or clitic	Garífuna	Taylor 1956b
gar	78a	Verbal affix or clitic	Garo	Burling 1961
geo	78a	Mixed	Georgian	Boeder 2000
ger	78a	Modal morpheme	German	Palmer 1986
god	78a	Part of the tense system	Godoberi	Kibrik 1996
goo	78a	Modal morpheme	Gooniyandi	McGregor 1990
grb	78a	No grammatical evidentials	Grebo	Innes 1966
grk	78a	No grammatical evidentials	Greek (Modern)	Joseph and Philippaki-Warburton 1987
gso	78a	Verbal affix or clitic	Greenlandic (South)	Swadesh 1946a
grw	78a	Verbal affix or clitic	Greenlandic (West)	Fortescue 1984
gjj	78a	Separate particle	Guajajara	Bendor-Samuel 1972
gua	78a	Separate particle	Guaraní	Rosbottom 1967
gum	78a	No grammatical evidentials	Gumbaynggir	Eades 1979
