survey	id	sentence_nr	context	sentence	translat_original	translit_morph	gloss	translation	target_verb	target_trans	expected	given	speaker	idiom	language	gender	birthyear	date	comment
es	1	1	Вы шли по улице, как вдруг увидели бегущего молодого человека, с дамской сумкой на руках, за которым бегут два полицейских. Вы видите, как полицейские его в конце концов догоняют и арестовывают. На следующий день вы встречаете соседа и рассказываете о том, что видели:	Иду я вчера по улице, и вдруг мимо меня бежит молодой парень, а за ним полицейские. Он быстро бежал, но в конце концов они его поймали.	сса ду кьакьалегьер тевал вяяттиди. ца замана дила  шшаллиццир тевал вебшшибли вяятти ца жагьил дурх1у лев. гьилигьа полицейскийти ттибухъунниди. ил ц1якьил дуц1ик1улди, бегьелра, ил полицейскийталли уциб.	sːa du q'aq'a-lehe-r teval webšː-ib-li waa-ti ca žahil durħu le-w. hil iha policejskij-ti tːi-b-uq-un-ni-di. il c'aq'il duc'ik'ul-di behelra, il policejskijt-alli uc-ib.	yesterday 1sg.erg street.post-el that_way.adv go.ptcp-pst one time 1sg.gen side.in-el that_way.adv run.pfv-pret-cvb go-ptcp one young guy be.here. dem-postlative policeman-pl after-iii.pl=chase-pret-cvb-pst. dem fast run.ipfv.pst nonetheless dem police-erg.pl catch-pst	Вчера я шел по улице. Как-то раз помимо меня бежит один молодой парень. За ним гнались полицейские. Он быстро бежал, но тем не менее полицейские его поймали.	поймали	uc-ib	past	past	1	Itsari	Dargwa	M	1961	3.2016	Нельзя заменить uc-ib (aor) перфектом, потому что это бы означило что говорящий сам не видел, а он видел.
es	2	2	Вернувшись домой, вы сразу чувствуете запах тухлого мяса, которое, наверное, где-то на кухне. Ясно, что мясо испортилось. Как вы бы сказали жене:	Эх, жена, мясо протухло! Другая еда есть?	ва дила риккан хьхьунул, цел, кухнялиб диг кквяг1бигуцаб, цара хурейг-цик1ал баакку?	wa dila r-ikːan xːunul, cel, kuxnjali-b dig kːwяʔbih-ub-ca-b cara xurejq-cik'al b-aakː-u?	hey 1sg.gen f-beloved wife, somehow kitchen-ess meat spoil-pret-cop-n other food-some_kind n-not.be-3sg.prs	Эй, моя любимая жена почему-то на кухне появляется/появилось запах испорченного мяса. Нет ли какая-нидудь другая еда?	протухло	kːwяʔbih-ub-ca-b	perfect	perfect	1	Itsari	Dargwa	M	1961	3.2016	Можно также аорист, но перфект более вежлив. Используя перфект, говорящий как бы “приглашает” жену признаться, что мясо сгорело, имплицируя, что она сама уже знает. (Говорящий также отметил, что есть очень много вариантов как перевести это предложение.)
es	3	3	Вы и знакомый встречаете в лесу человека, который спит на только что снятой шкуре медведя. Рядом лежит свежая туша. Как вы скажете своему знакомому:	Он убил медведя, а ведь охота запрещена.	гьижил ссика кабихьубликьал г1яяр вахьарай кьалли ихтияр баакку гьана?	hi-žil sːika kabix-ub-li-q'al ʔaag waxaraj q'alli ixtijar b-aakː-u hana	dem-erg bear kill-pret-cvb-mir hunt go.inf ptc permission n-not.be-3sg.prs now	Оказывается этот же убил медведя! А сейчас же нет разрешения ходить на охоту?	убил	kabix-ub-li-q'al	perfect	past	1	Itsari	Dargwa	M	1961	3.2016	Вместо =q'al (mir.ptc) можно =ca-cm (pf). Значение =ca-cm --- “оказывается”, а =q'al --- “оказывается” + удивление. Говорящий объясняет выбор тем, что в данном случае неожиданный, но явный результат на глазах.
es	4	4	Вы просыпаетесь и смотрите из окна. Вчера ваша жена попросила сегодня сходить на рынок, а вы, смотря из окна видите, что на улице все мокро. Как вы в таком случае сказали бы:	Ночью был дождь, я никуда не пойду, нет хорошей обуви.	дуччи  марка бяркьибли бужибцаб, ду чинак1ал вяяттейккви, дила г1яххял ттаппри даакку. 	dučːi marka barq'-ib-li b-už-ib=ca-b du činak'al waat-ejkːw-i dila ʔaxːal tːapːri d-aakː-u	night rain make.pfv-pret-cvb n-stay-pret=aux-n 1sg somewhere go-neg.aux-1sg 1sg.gen good shoes pl-not.be-1.prs	Ночью был дождь, кажется, я никуда не иду, у меня нет хорошей обуви.	был	barq'-ib-li b-už-ib=ca-b	perfect	other	1	Itsari	Dargwa	M	1961	3.2016	Опираясь на контекст, данный мной, два варианта возможны: Перфект если жена еще не смотрела из окна и не видела что дождь шел. Аорист если она уже в курсе.
es	5	4	Вы просыпаетесь и смотрите из окна. Вчера ваша жена попросила сегодня сходить на рынок, а вы, смотря из окна видите, что на улице все мокро. Как вы в таком случае сказали бы:	Ночью был дождь, я никуда не пойду, нет хорошей обуви.	дуччи  марка бяркьиб, ду чинак1ал вяяттейккви, дила г1яххял ттаппри даакку. 	dučːi marka barq'-ib du činak'al waat-ejkːw-i dila ʔaxːal tːapːri d-aakː-u	night rain make.pfv-pret-cvb n-stay-pret=aux-n 1sg somewhere go-neg.aux-1sg 1sg.gen good shoes pl-not.be-1.prs	Ночью был дождь, кажется, я никуда не иду, у меня нет хорошей обуви.	был	barq'-ib	perfect	past	1	Itsari	Dargwa	M	1961	3.2016	Опираясь на контекст, данный мной, два варианта возможны: Перфект если жена еще не смотрела из окна и не видела что дождь шел. Аорист если она уже в курсе.
es	6	5	Вы спали и во сне перевернули стакан с водой, стоявший возле кровати. Вы просыпаетесь и видите лужу на полу. Как вы скажете:	Эй, жена (дочка), (оказывается) я пролил воду, вытри, пожалуйста.	ва хьхьунул, дуччи вишшибли вигалли, дул исттикан кабичяхъибли ужиблида гьин ттураэрт1ибцад, губ бушкин миссила.	wa χːunul, dučːi wišː-ib-li w-igal-li, dul istːikan kabič-aq-ib-li už-ib-li-da hin tːura-ert'-ib=ca-d gu-b b-ušk-in misːila	hey wife, night sleep-pret-cvb m-stay-cvb 1sg.erg glass fall-caus-pret-cvb be-pret-cvb-1sg water outside-pour.pfv-pret=cop-3pl down-n n-clean-imp floor		пролил	kabič-aq-ib-li už-ib-li-da; tːura-ert'-ib=ca-d	perfect	other; perfect	1	Itsari	Dargwa	M	1961	3.2016	
es	7	6	Вы видите на улице много милиции. Вы спрашиваете у прохожего – почему? Он говорит, что в город приехали важные гости. Вы приходите домой и говорите жене:	В город приехало начальство, лучше посидеть дома.	ва хьхьунул, шагьаррицци бехъел х1якимти сабягъибли леб бик1вар гьелий хъил карижибли ругуттидил, г1ях1ил-ди.	wa xːunul, šahar-ri-cːi b-eqel ħakim-ti sa-b-aʁ-ib-li le-b b-ik'w-ar helij qil ka-r-iž-ib-li r-ug-utːi-dil ʔaħil-di 	hey wife, city-in.lat hpl-many official-pl prev-hpl-go.pfv-pret-cvb be.here-hpl hpl-say-hab therefore at_home prev-f-sit_down.pfv-pret-cvb f-be-prs.cvb-pst.cond good-pst 		приехало	sa-b-aʁ-ib-li le-b b-ik'w-ar	perfect	other	1	Itsari	Dargwa	M	1961	3.2016	Аналитическая конструкция с деепричастием и со вспомогательным глаголом le-b (here.is) и с добавлением маркера репортативности: остывшая форма глагола b-ik'ʷ-ar (cm-say-hab). Маркер можно сочетать с перфектом, а с аористом нельзя, потому что аорист значит, что говорящий сам видел. 
es	8	7	В конце января по телевизору в Махачкале сообщили, что в Москве шел снег. Возвращаясь в село, вы говорите водителю маршрутки:	В Москве снова снег, значит, у нас через неделю тоже будет.	маскавлиб нара ду1х1ил бусацаб бик1вар гьелий нишшала ишттубра ца жумяг1лир дух1и бууранни.	maskwa-li-b na=ra duˁħi-l b-usa=ca-b b-ik'ʷ-ar helij nišː-ala ištːu-b=ra ca žumaʔ-lir duħi b-uːr-an-ni	moscow-sup-ess now=add snow-erg n-go-prs.cvb=cop-n n-say-hab therefore firstpl.gen hither-n=add one week-el snow n-be-cvb-fut		снег	b-usa=ca-b b-ik'ʷ-ar	perfect	other	1	Itsari	Dargwa	M	1961	3.2016	
es	9	8	Вас спрашивают какое у вас мнение о новом главе района. Лично вы его не знаете, но люди отзываются о нем хорошо. Как вы скажете:	Говорят, он честный человек. Но один честный человек ничего не изменит.	гьана ссаккал кейжибци адми х1ялалци цав бик1вар амма ца вархьци адмил цик1ал барсбаркьуй виреерар.	hana sːakːa-l ke-j-ž-ib-ci admi ħalal-ci ca-w b-ik'ʷ-ar amma ca w-arx-ci admi-l cik'al b-ars-b-arq'-uj w-ir-eːr-ar	now new-adv prev-m-sit_down-pret-atr person honest-atr cop-m n-say-hab but one m-straight-atr person-erg something n-change-n-make-inf m-can-neg-hab		честный человек	ħalal-ci ca-w b-ik'ʷ-ar	other	other	1	Itsari	Dargwa	M	1961	3.2016	Вспомогательный глагол ca-w (имеется) используется потому что здесь прилагательное (честный – х1ялалци).
es	10	9	К вам приехал двоюродный брат из города, которого вы уже очень давно не видели. Он спрашивает, «Какие новости?» а вы ему расскажете о событиях у вас:	В соседнем селе школу разрушили, а у нас тут у соседей дочка родилась.	валлагь, зунриппалла шшицциб маркналли ушкул зеебяркьибцаб нишшала зунрала рирсси ряркьибцар	wallah, zun-ripp-alla šːi-cːi-b mark-n-alli uškul zee-b-arq-ib=ca-b niš-ala zunra-la rirsːi r-arq'-ib=ca-r 	by_god, neighbor-pl-gen village-in-ess rain-pl-erg school spoil-n-make-pret=cop-n 1pl-gen neighbor-gen girl f-make-pret=cop-f 		разрушили	zee-b-arq-ib=ca-b	perfect	perfect	1	Itsari	Dargwa	M	1961	3.2016	Здесь перфект можно заменить и аористом. Большая разница в значении не ощущается.
